program_id,program_name,institution,source_type,source_url,primary_field,secondary_fields,interests,goals,budget,format,location_preference,city,state_or_country,region,selectivity,duration,duration_weeks,season,grade_min,grade_max,support_type,tuition_usd,financial_aid,residential_option,description,keywords,academic_strength_target,recommended_gpa_range,coursework_background_expected,prior_experience_expected,academic_rigor_level,prerequisite_notes
SYN-0121,Northstar Future Institute Global Field School in Architecture,Northstar Future Institute,synthetic_generated,,architecture,civil engineering;design,architecture;civil engineering;design,academic challenge;portfolio building;career exploration,moderate cost is okay,in-person only,South,Nashville,Tennessee,South,balanced,2 to 4 weeks,3,summer,9,12,career guidance,2800,limited,yes,This summer program helps high school students explore architecture through academic challenge and portfolio building.,architecture;civil engineering;design;academic challenge;portfolio building,solid,3.2-3.49,Foundational coursework or portfolio-building experience helpful,No formal experience required; beginner exposure helpful,moderate,"Portfolio, writing samples, or prior creative work may strengthen fit"
SYN-0746,Cedar Grove Scholars Applied Pre-College Institute for Pharmacy,Cedar Grove Scholars,synthetic_generated,,pharmacy,chemistry;biochemistry,pharmacy;chemistry;biochemistry,college preparation;research experience;skill development,not a major concern,either,international,Singapore,Singapore,International,competitive,4 to 8 weeks,6,summer,10,12,independent exploration,10500,merit scholarships,optional,Students build confidence in pharmacy while developing transferable skills through college preparation and research experience.,pharmacy;chemistry;biochemistry;college preparation;research experience,strong,3.5-3.79,Advanced coursework preferred (honors/AP/IB or strong equivalent),Some prior exposure or self-directed projects helpful,moderately high,Biology/chemistry exposure helpful; healthcare interest expected
SYN-0355,Urban Horizon Institute Young Innovators Research Lab in Fashion Design,Urban Horizon Institute,synthetic_generated,,fashion design,design;arts,fashion design;design;arts;graphic design,portfolio building;networking;career exploration,not a major concern,hybrid,international,Singapore,Singapore,International,balanced,1 to 2 weeks,2,summer,8,12,faculty mentorship,10500,limited,optional,"Designed for motivated teens, this program combines fashion design content with portfolio building and networking.",fashion design;design;arts;portfolio building;networking,solid,3.2-3.49,Foundational coursework helpful but not required,No formal experience required; beginner exposure helpful,moderate,No strict prerequisite; demonstrated interest improves fit
SYN-0552,Maple Bridge Academy Open Door Research Lab in Public Health,Maple Bridge Academy,synthetic_generated,,public health,medicine;biology,public health;medicine;biology,leadership development;research experience;career exploration,cost matters but flexible,hybrid,East Coast,Providence,Rhode Island,East Coast,very competitive,1 to 2 weeks,2,summer,9,12,project guidance,5200,need-based aid,optional,"A 1 to 2 weeks pre-college experience focused on public health, blending leadership development with research experience.",public health;medicine;biology;leadership development;research experience,exceptional,3.8+,Introductory coursework or demonstrated interest helpful,Demonstrated sustained interest and prior exposure preferred,high,Biology/chemistry exposure helpful; healthcare interest expected
SYN-0619,Bridgewater Youth Academy Pioneer Field School in Pre-Med,Bridgewater Youth Academy,synthetic_generated,,pre-med,medicine;biology,pre-med;medicine;biology,research experience;medical exposure;college preparation,cost matters but flexible,mostly online,East Coast,Washington,District of Columbia,East Coast,competitive,4 to 8 weeks,8,summer,9,12,project guidance,6100,limited,optional,"Designed for motivated teens, this program combines pre-med content with research experience and medical exposure.",pre-med;medicine;biology;research experience;medical exposure,strong,3.5-3.79,Advanced coursework preferred (honors/AP/IB or strong equivalent),Some prior exposure or self-directed projects helpful,moderately high,Biology/chemistry exposure helpful; healthcare interest expected
SYN-0438,Orbit Learning Institute Applied Pre-College Institute for Finance,Orbit Learning Institute,synthetic_generated,,finance,economics;business,finance;economics;business,academic challenge;career exploration;networking,low cost only,mostly online,anywhere in the U.S.,Denver,Colorado,Mountain,less competitive,1 to 2 weeks,2,summer,9,12,faculty mentorship,1800,need-based aid,optional,Students build confidence in finance while developing transferable skills through academic challenge and career exploration.,finance;economics;business;academic challenge;career exploration,average,3.0-3.19,Relevant introductory coursework or strong extracurricular exposure helpful,Beginner friendly; no prior experience required,moderate-low,"Quantitative comfort, initiative, or leadership/project experience helpful"
SYN-0697,Riverview Innovation Lab Discovery Field School in Psychology,Riverview Innovation Lab,synthetic_generated,,psychology,neuroscience;public health,psychology;neuroscience;public health;biology,research experience;major exploration;career exploration,not a major concern,either,Midwest,Madison,Wisconsin,Midwest,balanced,4 to 8 weeks,6,summer,9,12,career guidance,13500,merit scholarships,optional,This summer program helps high school students explore psychology through research experience and major exploration.,psychology;neuroscience;public health;research experience;major exploration,solid,3.2-3.49,Introductory coursework or demonstrated interest helpful,No formal experience required; beginner exposure helpful,moderate,No strict prerequisite; demonstrated interest improves fit
REAL-0050,NSLC Engineering - University of Michigan,National Student Leadership Conference,real_sourced,https://www.nslcleaders.org/summer-program-locations/michigan-high-school-summer-programs/,mechanical engineering,robotics;civil engineering;physics,mechanical engineering;robotics;civil engineering;physics,hands-on projects;skill development;career exploration,moderate cost is okay,in-person only,Midwest,Ann Arbor,Michigan,Midwest,balanced,1 to 2 weeks,1.3,summer,9,12,peer community,4195,scholarships available,yes,Residential NSLC pre-college program in engineering hosted on the University of Michigan campus.,mechanical engineering;robotics;civil engineering;physics;hands-on projects;skill development,solid,3.2-3.49,Introductory coursework helpful but not required,No formal experience required; beginner exposure helpful,moderate,No strict prerequisite; demonstrated interest improves fit
SYN-0669,Prairie Stone Scholars Program Pioneer Leadership Forum in Veterinary Medicine,Prairie Stone Scholars Program,synthetic_generated,,veterinary medicine,biology;medicine,veterinary medicine;biology;medicine;chemistry,medical exposure;hands-on projects;research experience,must be free,mostly in-person,Midwest,Chicago,Illinois,Midwest,balanced,4 to 8 weeks,6,summer,9,12,career guidance,0,yes,yes,"A 4 to 8 weeks pre-college experience focused on veterinary medicine, blending medical exposure with hands-on projects.",veterinary medicine;biology;medicine;medical exposure;hands-on projects,solid,3.2-3.49,Foundational coursework helpful but not required,No formal experience required; beginner exposure helpful,moderate,No strict prerequisite; demonstrated interest improves fit
SYN-0273,Pioneer Horizon University Young Innovators Pre-College Institute for Biochemistry,Pioneer Horizon University,synthetic_generated,,biochemistry,chemistry;biology,biochemistry;chemistry;biology,academic challenge;career exploration;research experience,moderate cost is okay,in-person only,East Coast,Baltimore,Maryland,East Coast,less competitive,4 to 8 weeks,8,summer,9,12,small class size,3800,no,yes,Students build confidence in biochemistry while developing transferable skills through academic challenge and career exploration.,biochemistry;chemistry;biology;academic challenge;career exploration,average,3.0-3.19,Introductory coursework helpful but not required,Beginner friendly; no prior experience required,moderate-low,No strict prerequisite; demonstrated interest improves fit
SYN-0387,Mosaic Futures Academy Advanced Innovation Studio in Sports Management,Mosaic Futures Academy,synthetic_generated,,sports management,business;marketing,sports management;business;marketing;finance,leadership development;career exploration;resume building,low cost only,mostly in-person,West Coast,Seattle,Washington,West Coast,less competitive,2 to 4 weeks,4,summer,9,12,small class size,1500,need-based aid,yes,"A 2 to 4 weeks pre-college experience focused on sports management, blending leadership development with career exploration.",sports management;business;marketing;leadership development;career exploration,average,3.0-3.19,Foundational coursework helpful but not required,Beginner friendly; no prior experience required,moderate-low,No strict prerequisite; demonstrated interest improves fit
SYN-0727,Riverview Innovation Lab Frontier Workshop Series in Music,Riverview Innovation Lab,synthetic_generated,,music,arts;film,music;arts;film;design,meeting like-minded students;portfolio building;career exploration,must be free,mostly in-person,West Coast,Los Angeles,California,West Coast,less competitive,2 to 4 weeks,4,summer,8,12,peer community,0,yes,yes,"Designed for motivated teens, this program combines music content with meeting like-minded students and portfolio building.",music;arts;film;meeting like-minded students;portfolio building,average,3.0-3.19,Foundational coursework or portfolio-building experience helpful,Beginner friendly; no prior experience required,moderate-low,"Portfolio, writing samples, or prior creative work may strengthen fit"
SYN-0287,Lighthouse Prep Academy Open Door Workshop Series in Music,Lighthouse Prep Academy,synthetic_generated,,music,arts;film,music;arts;film;design,skill development;meeting like-minded students;portfolio building,cost matters but flexible,hybrid,anywhere in the U.S.,Denver,Colorado,Mountain,competitive,1 to 2 weeks,2,summer,8,12,student mentorship,5200,limited,optional,"A 1 to 2 weeks pre-college experience focused on music, blending skill development with meeting like-minded students.",music;arts;film;skill development;meeting like-minded students,strong,3.5-3.79,Foundational coursework or portfolio-building experience helpful,Beginner-to-intermediate portfolio or prior work helpful,moderately high,"Portfolio, writing samples, or prior creative work may strengthen fit"
SYN-0404,Silverline Summer College Elite Immersion in Arts,Silverline Summer College,synthetic_generated,,arts,design;film,arts;design;film;graphic design,skill development;meeting like-minded students;portfolio building,low cost only,mostly online,East Coast,Washington,District of Columbia,East Coast,balanced,1 to 2 weeks,1,summer,8,12,student mentorship,1500,no,optional,This summer program helps high school students explore arts through skill development and meeting like-minded students.,arts;design;film;skill development;meeting like-minded students,solid,3.2-3.49,Foundational coursework or portfolio-building experience helpful,No formal experience required; beginner exposure helpful,moderate,"Portfolio, writing samples, or prior creative work may strengthen fit"
SYN-0559,Bridgewater Youth Academy Foundations Innovation Studio in Creative Writing,Bridgewater Youth Academy,synthetic_generated,,creative writing,journalism;history,creative writing;journalism;history,college preparation;meeting like-minded students;portfolio building,must be free,hybrid,international,Singapore,Singapore,International,very competitive,1 to 2 weeks,2,summer,9,12,peer community,0,yes,optional,This summer program helps high school students explore creative writing through college preparation and meeting like-minded students.,creative writing;journalism;history;college preparation;meeting like-minded students,exceptional,3.8+,Foundational coursework or portfolio-building experience helpful,"Strong prior experience, portfolio, or sustained work preferred",high,"Portfolio, writing samples, or prior creative work may strengthen fit"
SYN-0413,Sagebrook Academy Foundations Pre-College Institute for Business,Sagebrook Academy,synthetic_generated,,business,finance;marketing,business;finance;marketing;economics,resume building;networking;leadership development,cost matters but flexible,in-person only,South,Nashville,Tennessee,South,balanced,2 to 4 weeks,4,summer,9,12,research mentorship,7200,limited,yes,This summer program helps high school students explore business through resume building and networking.,business;finance;marketing;resume building;networking,solid,3.2-3.49,Relevant introductory coursework or strong extracurricular exposure helpful,No formal experience required; beginner exposure helpful,moderate,"Quantitative comfort, initiative, or leadership/project experience helpful"
SYN-0551,Evergreen Future Lab Elite Immersion in Sports Management,Evergreen Future Lab,synthetic_generated,,sports management,business;marketing,sports management;business;marketing;finance,career exploration;resume building;leadership development,moderate cost is okay,mostly in-person,anywhere in the U.S.,Denver,Colorado,Mountain,less competitive,1 to 2 weeks,2,summer,9,12,peer community,3800,limited,yes,Students build confidence in sports management while developing transferable skills through career exploration and resume building.,sports management;business;marketing;career exploration;resume building,average,3.0-3.19,Foundational coursework helpful but not required,Beginner friendly; no prior experience required,moderate-low,No strict prerequisite; demonstrated interest improves fit
SYN-0491,Evergreen Future Lab Young Innovators Research Lab in Nursing,Evergreen Future Lab,synthetic_generated,,nursing,medicine;public health,nursing;medicine;public health;biology,leadership development;medical exposure;hands-on projects,moderate cost is okay,in-person only,Midwest,Madison,Wisconsin,Midwest,very competitive,1 to 2 weeks,2,summer,9,12,small class size,4500,no,yes,Students build confidence in nursing while developing transferable skills through leadership development and medical exposure.,nursing;medicine;public health;leadership development;medical exposure,exceptional,3.8+,Advanced coursework preferred (honors/AP/IB or strong equivalent),"Some prior projects, research, competitions, or advanced exposure preferred",high,Biology/chemistry exposure helpful; healthcare interest expected
SYN-0302,Blue Mesa Scholars Academy Elite Bootcamp in Mathematics,Blue Mesa Scholars Academy,synthetic_generated,,mathematics,statistics;physics,mathematics;statistics;physics,college preparation;skill development;major exploration,cost matters but flexible,in-person only,international,Singapore,Singapore,International,less competitive,4 to 8 weeks,6,summer,9,12,independent exploration,6100,merit scholarships,yes,"A 4 to 8 weeks pre-college experience focused on mathematics, blending college preparation with skill development.",mathematics;statistics;physics;college preparation;skill development,average,3.0-3.19,Introductory coursework helpful but not required,Beginner friendly; no prior experience required,moderate-low,No strict prerequisite; demonstrated interest improves fit
SYN-0707,Lighthouse Prep Academy Honors Innovation Studio in Finance,Lighthouse Prep Academy,synthetic_generated,,finance,economics;business,finance;economics;business,skill development;academic challenge;networking,not a major concern,mostly in-person,Arizona,Phoenix,Arizona,Southwest,balanced,1 to 2 weeks,1,summer,9,12,application guidance,13500,no,yes,This summer program helps high school students explore finance through skill development and academic challenge.,finance;economics;business;skill development;academic challenge,solid,3.2-3.49,Relevant introductory coursework or strong extracurricular exposure helpful,No formal experience required; beginner exposure helpful,moderate,"Quantitative comfort, initiative, or leadership/project experience helpful"
SYN-0567,Mosaic Futures Academy Elite Immersion in Data Science,Mosaic Futures Academy,synthetic_generated,,data science,statistics;computer science,data science;statistics;computer science;mathematics,career exploration;hands-on projects;portfolio building,must be free,either,East Coast,Providence,Rhode Island,East Coast,very competitive,2 to 4 weeks,3,summer,9,12,project guidance,0,merit scholarships,optional,This summer program helps high school students explore data science through career exploration and hands-on projects.,data science;statistics;computer science;career exploration;hands-on projects,exceptional,3.8+,Advanced coursework preferred (honors/AP/IB or strong equivalent),"Some prior projects, research, competitions, or advanced exposure preferred",high,Math/programming familiarity helpful; projects or coding exposure useful
SYN-0877,Riverview Innovation Lab Applied Research Lab in Medicine,Riverview Innovation Lab,synthetic_generated,,medicine,biology;public health,medicine;biology;public health;chemistry,hands-on projects;career exploration;medical exposure,low cost only,mostly in-person,East Coast,Philadelphia,Pennsylvania,East Coast,competitive,2 to 4 weeks,4,summer,9,12,application guidance,2200,no,yes,"A 2 to 4 weeks pre-college experience focused on medicine, blending hands-on projects with career exploration.",medicine;biology;public health;hands-on projects;career exploration,strong,3.5-3.79,Advanced coursework preferred (honors/AP/IB or strong equivalent),Some prior exposure or self-directed projects helpful,moderately high,Biology/chemistry exposure helpful; healthcare interest expected
SYN-0734,Silverline Summer College Advanced Innovation Studio in Game Development,Silverline Summer College,synthetic_generated,,game development,computer science;design,game development;computer science;design;software engineering,portfolio building;skill development;hands-on projects,strongly prefer free,mostly online,Midwest,Ann Arbor,Michigan,Midwest,balanced,2 to 4 weeks,4,summer,8,12,career guidance,500,merit scholarships,optional,"A 2 to 4 weeks pre-college experience focused on game development, blending portfolio building with skill development.",game development;computer science;design;portfolio building;skill development,solid,3.2-3.49,Foundational coursework helpful but not required,No formal experience required; beginner exposure helpful,moderate,No strict prerequisite; demonstrated interest improves fit
SYN-0433,Redwood Pathways Institute Future Leaders Innovation Studio in Entrepreneurship,Redwood Pathways Institute,synthetic_generated,,entrepreneurship,business;marketing,entrepreneurship;business;marketing;finance,hands-on projects;networking;leadership development,cost matters but flexible,hybrid,anywhere in the U.S.,Denver,Colorado,Mountain,balanced,1 to 2 weeks,2,summer,9,12,student mentorship,8400,merit scholarships,optional,"Designed for motivated teens, this program combines entrepreneurship content with hands-on projects and networking.",entrepreneurship;business;marketing;hands-on projects;networking,solid,3.2-3.49,Relevant introductory coursework or strong extracurricular exposure helpful,No formal experience required; beginner exposure helpful,moderate,"Quantitative comfort, initiative, or leadership/project experience helpful"
SYN-0861,Helix Summer Scholars Applied College Prep Seminar in Mathematics,Helix Summer Scholars,synthetic_generated,,mathematics,statistics;physics,mathematics;statistics;physics,major exploration;college preparation;academic challenge,low cost only,hybrid,South,Atlanta,Georgia,South,very competitive,4 to 8 weeks,8,summer,9,12,independent exploration,1800,merit scholarships,optional,Students build confidence in mathematics while developing transferable skills through major exploration and college preparation.,mathematics;statistics;physics;major exploration;college preparation,exceptional,3.8+,Advanced coursework preferred (honors/AP/IB or strong equivalent),"Some prior projects, research, competitions, or advanced exposure preferred",high,No strict prerequisite; demonstrated interest improves fit
SYN-0306,Catalyst Pre-College Center Global Leadership Forum in Social Impact,Catalyst Pre-College Center,synthetic_generated,,social impact,leadership;public health,social impact;leadership;public health,networking;career exploration;leadership development,cost matters but flexible,mostly online,international,Oxford,England,International,balanced,4 to 8 weeks,6,summer,9,12,faculty mentorship,5200,limited,optional,This summer program helps high school students explore social impact through networking and career exploration.,social impact;leadership;public health;networking;career exploration,solid,3.2-3.49,Introductory coursework or demonstrated interest helpful,No formal experience required; beginner exposure helpful,moderate,No strict prerequisite; demonstrated interest improves fit
SYN-0533,Sagebrook Academy Open Door Scholars Program in Software Engineering,Sagebrook Academy,synthetic_generated,,software engineering,computer science;artificial intelligence,software engineering;computer science;artificial intelligence,portfolio building;hands-on projects;career exploration,low cost only,mostly online,West Coast,Seattle,Washington,West Coast,balanced,4 to 8 weeks,6,spring,9,12,project guidance,2200,need-based aid,optional,"A 4 to 8 weeks pre-college experience focused on software engineering, blending portfolio building with hands-on projects.",software engineering;computer science;artificial intelligence;portfolio building;hands-on projects,solid,3.2-3.49,Introductory coursework helpful but not required,No formal experience required; beginner exposure helpful,moderate,Math/programming familiarity helpful; projects or coding exposure useful
SYN-0657,Mosaic Futures Academy Pioneer Explorers Program in Genetics,Mosaic Futures Academy,synthetic_generated,,genetics,biology;biotechnology,genetics;biology;biotechnology;chemistry,research experience;career exploration;academic challenge,moderate cost is okay,mostly online,anywhere in the U.S.,Denver,Colorado,Mountain,very competitive,1 to 2 weeks,2,summer,9,12,research mentorship,2800,merit scholarships,optional,"Designed for motivated teens, this program combines genetics content with research experience and career exploration.",genetics;biology;biotechnology;research experience;career exploration,exceptional,3.8+,Advanced coursework preferred (honors/AP/IB or strong equivalent),"Some prior projects, research, competitions, or advanced exposure preferred",high,No strict prerequisite; demonstrated interest improves fit
REAL-0054,NSLC Psychology & Neuroscience - University of Michigan,National Student Leadership Conference,real_sourced,https://www.nslcleaders.org/summer-program-locations/michigan-high-school-summer-programs/,psychology,neuroscience;public health;research,psychology;neuroscience;public health;research,research experience;major exploration;career exploration,moderate cost is okay,in-person only,Midwest,Ann Arbor,Michigan,Midwest,balanced,1 to 2 weeks,1.3,summer,9,12,peer community,4295,scholarships available,yes,Residential NSLC pre-college program in psychology & neuroscience hosted on the University of Michigan campus.,psychology;neuroscience;public health;research;research experience;major exploration,solid,3.2-3.49,Introductory coursework or demonstrated interest helpful,No formal experience required; beginner exposure helpful,moderate,No strict prerequisite; demonstrated interest improves fit
SYN-0363,Pioneer Horizon University Honors Pre-College Institute for Business,Pioneer Horizon University,synthetic_generated,,business,finance;marketing,business;finance;marketing;economics,leadership development;career exploration;networking,not a major concern,hybrid,international,Oxford,England,International,balanced,1 to 2 weeks,2,summer,9,12,application guidance,10500,need-based aid,optional,This summer program helps high school students explore business through leadership development and career exploration.,business;finance;marketing;leadership development;career exploration,solid,3.2-3.49,Relevant introductory coursework or strong extracurricular exposure helpful,No formal experience required; beginner exposure helpful,moderate,"Quantitative comfort, initiative, or leadership/project experience helpful"
REAL-0057,"NSLC Medicine & Health Care - University of California, Berkeley",National Student Leadership Conference,real_sourced,https://www.nslcleaders.org/youth-leadership-programs/summer-medical-programs/,medicine,biology;public health;leadership,medicine;biology;public health;leadership,medical exposure;career exploration;hands-on projects,moderate cost is okay,in-person only,West Coast,San Francisco,California,West Coast,balanced,1 to 2 weeks,1.3,summer,9,12,peer community,4395,scholarships available,yes,"Residential NSLC medicine program hosted at University of California, Berkeley.",medicine;biology;public health;leadership;medical exposure;career exploration,solid,3.2-3.49,Introductory coursework helpful but not required,No formal experience required; beginner exposure helpful,moderate,Biology/chemistry exposure helpful; healthcare interest expected
SYN-0201,Helix Summer Scholars Young Innovators Scholars Program in Finance,Helix Summer Scholars,synthetic_generated,,finance,economics;business,finance;economics;business,career exploration;academic challenge;skill development,not a major concern,hybrid,West Coast,Portland,Oregon,West Coast,balanced,1 to 2 weeks,2,summer,9,12,application guidance,11800,merit scholarships,optional,Students build confidence in finance while developing transferable skills through career exploration and academic challenge.,finance;economics;business;career exploration;academic challenge,solid,3.2-3.49,Relevant introductory coursework or strong extracurricular exposure helpful,No formal experience required; beginner exposure helpful,moderate,"Quantitative comfort, initiative, or leadership/project experience helpful"
SYN-0709,Bridgewater Youth Academy Frontier Field School in Economics,Bridgewater Youth Academy,synthetic_generated,,economics,finance;political science,economics;finance;political science,networking;academic challenge;career exploration,moderate cost is okay,online only,remote only,Remote,Remote,Remote,balanced,4 to 8 weeks,8,summer,9,12,small class size,4500,need-based aid,no,Students build confidence in economics while developing transferable skills through networking and academic challenge.,economics;finance;political science;networking;academic challenge,solid,3.2-3.49,Relevant introductory coursework or strong extracurricular exposure helpful,No formal experience required; beginner exposure helpful,moderate,"Quantitative comfort, initiative, or leadership/project experience helpful"
SYN-0122,Blue Mesa Scholars Academy Discovery Leadership Forum in Dentistry,Blue Mesa Scholars Academy,synthetic_generated,,dentistry,medicine;biology,dentistry;medicine;biology,medical exposure;skill development;career exploration,strongly prefer free,mostly in-person,West Coast,Seattle,Washington,West Coast,less competitive,2 to 4 weeks,3,summer,10,12,career guidance,500,need-based aid,yes,This summer program helps high school students explore dentistry through medical exposure and skill development.,dentistry;medicine;biology;medical exposure;skill development,average,3.0-3.19,Foundational coursework helpful but not required,Beginner friendly; no prior experience required,moderate-low,No strict prerequisite; demonstrated interest improves fit
SYN-0403,Redwood Pathways Institute Applied Bootcamp in Medicine,Redwood Pathways Institute,synthetic_generated,,medicine,biology;public health,medicine;biology;public health;chemistry,medical exposure;career exploration;hands-on projects,strongly prefer free,in-person only,South,Atlanta,Georgia,South,balanced,1 to 2 weeks,1,summer,9,12,peer community,750,no,yes,"A 1 to 2 weeks pre-college experience focused on medicine, blending medical exposure with career exploration.",medicine;biology;public health;medical exposure;career exploration,solid,3.2-3.49,Introductory coursework helpful but not required,No formal experience required; beginner exposure helpful,moderate,Biology/chemistry exposure helpful; healthcare interest expected
